Name of contributor and date uploaded,Date of event (M/D/YYYY),Source,Citation (MLA),Violation,Summary,Notes,Classification,
Thomas Fendig,3/4/2025,"Trump threatens funding to colleges allowing ""legal protests."" - REUTERS","Reuters. (2025, March 4). Trump threatens funding cut to colleges allowing “illegal protests” | reuters. Reuters. https://www.reuters.com/world/us/trump-says-federal-funding-will-stop-colleges-schools-allowing-illegal-protests-2025-03-04/",Imprisoning/deporting protestors and cutting federal funding to Colleges would appear to violate the first ammendments protections of free speech.,"In a social media post, President Trump threatened to cut federal funding for colleges that allowed ""illegal protests."" Additionally, he threatened to deport/imprison perceived ""agitators."" ",,Unconstitutional,"Note: Please do not follow an agenda, be aware of our resposability with this database. We are looking for violations of rights and democratic blacksliding. If things are achieved throigh democratic means before you put, perhaps, you can ask the class to revise the submission"
Thomas Fendig,,Hesgeth Revokes Mark Milley's Security Detail - REUTERS,"Stewart, Phil, and Idrees Ali. “Trump's Pentagon Lashes Out at Retired General Milley, Yanks Security Detail.” Reuters, 29 Jan. 2025, https://www.reuters.com/world/us/pentagon-pull-milleys-security-clearance-fox-reports-2025-01-28/.","High ranking former military and government officials are normally entitled to security details, especially when facing death threats. In targetting a leading critic, the administration is violating establish democratic norms","Secretary of Defense Pete Hesgeth has revoked former Chairman of the Joint Chiefs Mark Milley's security detail and initiated an investigation into the former general's conduct, arguing that he had violated the chain of command. Following his retirement, Mark Milley had become a prominent Trump critic. The move risks Milley's health and safety, as he has previously faced death threats. ",,Norm Violation,
Thomas Fendig,03/06/2025,"Fearing Retribution, Trump Critics Muzzle Themselves - NYT","Baker, Peter, and Maggie Haberman. ""Trump’s Second Term: A Test for American Democracy."" The New York Times, 6 Mar. 2025, www.nytimes.com/2025/03/06/us/politics/trump-democracy.html.","So far the administration's retribution has fallen within legal grounds. However, the administrations continued silencing and targetting of critics is a vast departure from past democratic precendence and values.  ","During the 2024 campaign and since taking office, Trump has promised retribution and has already begun targetting percieved political enemies--revoking security details and clearances for critics, criticizied republican official who threaten his agenda, and targetted intellectuals. Elon Musk has used his platform X to lambast Republicans who seem to waver on administration priorities and has promised to fund primary challenges for those who vote contrary to the administration's state policy Threats of political violence by Trump supports have targetted critics inside and outside of the Republican party. In the face of this significant pressure, many former or would be critics have gone silent. ",,Norm Violation,"What have we will document: Attack on DEI's policy, immigration and deporations, education, foreign aid, media attacks, FBI, erasure of knowledge, democratic backsliding, judicial changes, private information access, staff purges, dismantle of institutions and individuals rights "
Thomas Fendig,2/25/2025,Trump Takes Aim at Law Firm Aiding Jack Smith - NYT,"Thrush, Glenn, and Charlie Savage. ""Trump Moves to Suspend Security Clearances of Lawyers at DC Law Firm Helping Jack Smith."" The New York Times, 25 Feb. 2025, www.nytimes.com/2025/02/25/us/trump-jack-smith-law-firm-security.html.","The President has control over the issuance of security clearances. However, by targetting the specific clearances of lawyers and firms that represent clients who have previously investigated Trump, the administration has intensified its bid to punish political rivals. ","President Trump signed an Executive Order removing the security clearances from lawyers and Covington and Burling. Convington and Burling is a prominent DC law firm which had employed several high profile lawyers in Democratic administrations. Specifically, Trump revoked the security clearances of lawyers who had offered pro-bono legal advice to Jack Smith, the special counsel who had previously investigated Donald Trump during the Biden administration. Trump has also stripped security clearances of other laywers. Further, the order targetted any contracts with Burlington and Covington, however it is unclear there are any.",,Norm Violation,
Thomas Fendig,3/6/2025,Trump Ramps Up Attacks on Law Firms With Order Targeting Perkins Coie - NYT,"Barrett, Devlin, and Tyler Pager. ""Trump Expands Attacks on Law Firms, Singling Out Paul, Weiss."" The New York Times, 6 Mar. 2025, www.nytimes.com/2025/03/06/us/politics/trump-perkins-coie.html.",This order continues the Trump administration's unprecedented push to target political enemies and is included in a series of events targetting law firms that had represented clients opposed to President Trump. ,President Trump signed an executive order punishing Law Firm Perkins Coie by removing the security clearances of its lawyers and their access to government buildings and officials. Lawyers at Perkins and Coie had investigated the Trump Campaign in 2016,Executive Order later blocked by a district court judge,Unconstitutional,
,2/24/2025,Trump personally decided to limit Associated Press’ access to White House - POLITICO,"Cheney, Kyle. ""Trump Personally Decided to Limit Associated Press’ Access to White House."" Politico, 24 Feb. 2025, www.politico.com/news/2025/02/24/trump-white-house-associated-press-lawsuit-00205723.","The decision to grant White House access has for years been determined by the White House Correspondents asociation and respected the White House. This is a departure from established democratic precedence and represents the targetting of journalists opposed to the Trump administration. Additionally, the AP is alleging that the move blocks constitutional rights to due process and freedom of speech. ","President Trump personally decided to end the AP's White House access, reportedly in response to their decision to continue using the name ""Gulf of Mexico."" The AP has sued Trump administration officials in response. ",Follow up on lawsuits.,Unlawful,
Thomas Fendig,2/26/2025,White House removes liberal outlet from press rotation - POLITICO,"Johansen, Ben. ""White House Removes Liberal Outlet from Press Rotation."" Politico, 26 Feb. 2025, https://www.politico.com/news/2025/02/26/white-house-huffpost-press-pool-00206260",The decision to grant White House access has for years been determined by the White House Correspondents asociation and respected the White House. This is a departure from established democratic precedence and represents the targetting of journalists opposed to the Trump administration.,The White House removed HuffPost from the White House press pool. HuffPost has been categorized as an anti-Trump publication. ,,Norm Violation,
Thomas Fendig,1/27/2025,Justice Dept. Fires Prosecutors Who Worked on Trump Investigations - NYT,"Savage, Charlie. ""Justice Department Firings Target Trump Prosecutors."" The New York Times, 27 Jan. 2025, https://www.nytimes.com/2025/01/27/us/politics/justice-department-firings-trump-jack-smith.html","Firing career employees protected by civil service protections would appear to violate several congressional statutes. The constitutionality of these statutes will face judicial scrutinity as the President continues to challenge them. Through these firings, the administration has targetted specific prosecutors who were tasked with investigating the President and removed them based on loyalty, not merit.","The acting attorney general fired over a dozen criminal prosecutors who worked on the two federal criminal investigations into Donald Trump overseen by special counsel Jack Smith. The prosecutors appear to be career veterans, who may be protected by civil service protections for nonpolitical appointees. The administration argues that Article II of the Constitution grants the President full control over personnel, overrulling civil service protections.",,Unlawful,
Thoms Fendig,3/9/2025,ICE Arrests Columbia Student Who Helped Lead Pro-Palestinian Protests - WSJ,"Otis, Ginger Adams. “DHS Detains Columbia Student Who Helped Lead Pro-Palestinian Protests.” The Wall Street Journal, 10 Mar. 2025, https://www.wsj.com/us-news/dhs-detains-columbia-student-who-helped-lead-pro-palestinian-protests-fbbd8196?st=LGhddm&reflink=desktopwebshare_permalink.","Khalil is a permeaneant resident who appears to have been detained in response to his activism, which may indicate a government crackdown on university activism, which Trump has already threatened in social media posts.","ICE has detained Mahmoud Khalil, a student who led the Columbian pro-Palestinian protests last year. Although he had a student visa and a green card, both had been revoked--in compliance with Trump's Executive Order ""prohibitting anti-semitism."" ",,Unconstitutional,
Thomas Fendig,3/12/2025,"Inside Trump’s Crackdown on Dissent: Obscure Laws, ICE Agents and Fear - NYT","Savage, Charlie, and Alan Feuer. ""Trump's Power Push Raises Fears of a Constitutional Crisis."" The New York Times, 20 Mar. 2025, https://www.nytimes.com/2025/03/20/us/politics/trump-power-courts-crisis.html","The administrations attack on dissenters is unprecedent in American history. Currently, most of his actions are otherwise legal, but go against existing democratic precedence. This includes the granting of security clearances and details. However, the President's ability to fire career government employees may violate US civil service laws and the deportation of Mahmoud Kalil may violate the first ammendment. ","Throughout his campaign and since taking office, Donald Trump has promised retribution. Since the innaguration, he has sought to deport Mahmoud Kalil, a US green-card holder who played a major role in the Columbia student protests. This attempted deportation utilized the Immigration and Nationality Act, which allows the Secretary of State to deport ""any alien"" who poses potential adverse foreign policy consequence--a clause that has only been used once before. In his quest to target dissenters, he has used little-known laws, fired and investigated figures he believes to be disloyal, and revoked security clearances with officials he does not like. ",,Unconstitutional,
